step,wallclock_s,n_sched,lambda_disc_active,gamma_disc,gamma_disc_active,target_rhs,sigma,sigma_pi,L_R,L_A,L_C,L_V_total,L_in_task,L_anorm,L_smooth,L_satex,L_pretanh,L_out,L_pi_total,grad_norm_VS,L_lg_raw,lg_min,lg_median,lg_degen_frac,grad_norm_pi,grad_leak_VS_from_Lpi,proj_mag_ema,sigma_pin_counter,abs_action_mean,abs_action_max,satfrac_a_phi
6200,212.9194314479828,12,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.00966787338256836,0.0,0.0,0.00966787338256836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06091931462287903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6400,216.42515182495117,12,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.009610835462808609,0.0,0.0,0.009610835462808609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12400416284799576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6600,222.41907835006714,13,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.009259207174181938,0.0,0.0,0.009259207174181938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0463138073682785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6800,225.92273950576782,13,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.008776119910180569,0.0,0.0,0.008776119910180569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083616241812706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7000,229.43983364105225,13,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.008475109934806824,0.0,0.0,0.008475109934806824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07636303454637527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7200,235.5130341053009,14,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.008149726316332817,0.0,0.0,0.008149726316332817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05393418297171593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7400,238.95398044586182,14,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.008195513859391212,0.0,0.0,0.008195513859391212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052015285938978195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7600,263.64086627960205,15,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.008872659876942635,0.0,0.0,0.008872659876942635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03461781516671181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7800,267.13252449035645,15,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.008263712748885155,0.0,0.0,0.008263712748885155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07354085147380829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8000,270.62509417533875,15,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.008039189502596855,0.0,0.0,0.008039189502596855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12406028062105179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
