step,wallclock_s,schedule_step,lambda_disc_active,gamma_disc_active,target_rhs_active,sigma,sigma_pi,rho_unsafe_v,rho_unsafe_pi,collect_proj_mag,collect_infeasible,L_R,L_V_total,value_target_unsafe_frac,rho_unsafe_label,label_mean,tail_push_mean,tail_exceed_frac,loss_pi_b,recovery_residual_norm,L_feas_raw,L_feas_weighted,gate_active_frac,gate_n_constructed,gate_n_kept,gate_doomed_frac,lg_norm_gate_mean,lg_norm_gate_p50,injected_fraction_actual,injected_target_mean,injected_target_unsafe_frac,L_sobolev_raw,L_sobolev_weighted,sob_grad_label_v_frac,sob_grad_label_v_mean,sob_dhdv_pred_mean,sob_v_spline_mean,sob_gate_mean,sob_gate_frac_active,sob_gate_dhdv_pred,L_in_task,L_anorm,L_smooth,L_satex,L_pretanh,L_out,L_pi_total,grad_norm_VS,grad_norm_pi,grad_leak_VS_from_Lpi,abs_action_mean,abs_action_max,satfrac_a_phi,L_rate_raw,L_rate_weighted,mean_abs_du,L_u_raw,L_u_weighted,L_deficit,mean_deficit_active,deficit_active_frac,deficit_clip_frac,mean_abs_deficit_feature,L_friction,proj_mag_bptt,probe_h_min,probe_h_max,probe_h_mean
4200,1489.010492324829,2200,1.0258658877510114,0.95,0.0,0.5260673136443625,0.0,0.1393939393939394,0.19626168224299065,0.0,0.0,0.00826317723840475,0.00826317723840475,0.031901041666666664,0.031901041666666664,-0.7156096696853638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.07940673828125,152.44772338867188,1.774444341659546,0.0,0.02527858503162861,0.028566181659698486,158.91310119628906,0.05979267880320549,82.5321044921875,0.0,2.9968979358673096,19.6200008392334,0.20108236372470856,10.072651863098145,0.0,1.1912798881530762,149.7473602294922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7346685528755188,-0.9129291772842407,0.6572696566581726,-0.5906689167022705
4400,1616.899554014206,2400,1.0258658877510114,0.95,0.0,0.5040257505640372,0.0,0.16759776536312848,0.1895734597156398,0.0,0.0,0.008416280150413513,0.008416280150413513,0.034586588541666664,0.034586588541666664,-0.7084624171257019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.5295867919922,151.34616088867188,1.9340397119522095,0.0,0.02527119405567646,0.024731215089559555,154.32298278808594,0.06675480306148529,115.89013671875,0.0,2.9873852729797363,19.6200008392334,0.19426269829273224,10.74573802947998,0.0,1.2410084009170532,148.97943115234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7356793880462646,-0.9194332957267761,0.6969674825668335,-0.5971747636795044
4600,1755.858954668045,2600,1.0258658877510114,0.95,0.0,0.48413323988404355,0.0,0.16167664670658682,0.16981132075471697,0.0,0.0,0.008601156994700432,0.008601156994700432,0.037434895833333336,0.037434895833333336,-0.7057609955469767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.00514221191406,151.46426391601562,1.8489248752593994,0.0,0.02073567360639572,0.020642351359128952,159.79017639160156,0.07699718326330185,53.952476501464844,0.0,2.992431879043579,19.6200008392334,0.18910320103168488,10.007702827453613,0.0,1.1958532333374023,149.4632568359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6912499666213989,-0.9156111478805542,0.817778468132019,-0.6016262769699097
4800,1883.9590442180634,2800,1.0258658877510114,0.95,0.0,0.4661802489953493,0.0,0.1695906432748538,0.14864864864864866,0.0,0.0,0.008377913385629654,0.008377913385629654,0.0390625,0.0390625,-0.7057450413703918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0979766845703,152.27410888671875,1.7068392038345337,0.0,0.018917711451649666,0.016115164384245872,157.9061279296875,0.0625917837023735,46.37278747558594,0.0,3.0104799270629883,19.6200008392334,0.17999675869941711,9.011420249938965,0.0,1.1290074586868286,150.62840270996094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5857430100440979,-0.9283899068832397,0.6089766621589661,-0.5949772000312805
5000,2012.2414898872375,3000,1.0258658877510114,0.95,0.0,0.44997767471830274,0.0,0.12903225806451613,0.18660287081339713,0.0,0.0,0.008700350299477577,0.008700350299477577,0.0400390625,0.0400390625,-0.7043819228808085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.5205535888672,150.50735473632812,1.7077672481536865,0.0,0.019323596730828285,0.01678439974784851,152.24105834960938,0.06492915004491806,104.10025024414062,0.0,2.992907762527466,19.6200008392334,0.17254233360290527,9.154805183410645,0.0,1.1355525255203247,148.45567321777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6213815212249756,-0.9029039740562439,0.6542780995368958,-0.5874267816543579
5200,2140.250025987625,3200,1.0258658877510114,0.95,0.0,0.43535485143326824,0.0,0.20108695652173914,0.2336448598130841,0.0,0.0,0.008483334444463253,0.008483334444463253,0.036458333333333336,0.036458333333333336,-0.7083714207013448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.90203857421875,149.65440368652344,1.9060450792312622,0.0,0.020182952284812927,0.01957773044705391,155.60142517089844,0.08158852905035019,40.90121078491211,0.0,2.992095708847046,19.6200008392334,0.18174642324447632,10.298537254333496,0.0,1.2336238622665405,147.6329803466797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.727493941783905,-0.9221025109291077,0.6999444365501404,-0.6074696779251099
5400,2268.4154918193817,3400,1.0258658877510114,0.95,0.0,0.4221577534185246,0.0,0.14814814814814814,0.20574162679425836,0.0,0.0,0.008741376921534538,0.008741376921534538,0.037027994791666664,0.037027994791666664,-0.7070726950963339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.86666870117188,152.26097106933594,1.896963357925415,0.0,0.02493412420153618,0.01791621372103691,158.69972229003906,0.07763000577688217,49.08657455444336,0.0,3.002267360687256,19.6200008392334,0.19636231660842896,11.022555351257324,0.0,1.2817260026931763,149.4433135986328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7735434770584106,-0.9153487682342529,0.6046239137649536,-0.6074220538139343
5600,2396.420372724533,3600,1.0258658877510114,0.95,0.0,0.4102473724602184,0.0,0.13612565445026178,0.2146341463414634,0.0,0.0,0.00884520635008812,0.00884520635008812,0.03759765625,0.03759765625,-0.707761804262797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0839385986328,152.03086853027344,1.9203343391418457,0.0,0.023564094677567482,0.01733737252652645,159.90628051757812,0.07312618941068649,65.17068481445312,0.0,3.0191071033477783,19.6200008392334,0.19862468540668488,10.095974922180176,0.0,1.2719271183013916,149.6916046142578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6956791877746582,-0.9104307889938354,0.588379442691803,-0.6002854108810425
5800,2524.513890504837,3800,1.0258658877510114,0.95,0.0,0.39949825364534713,0.0,0.16666666666666666,0.1506849315068493,0.0,0.0,0.00932106003165245,0.00932106003165245,0.040852864583333336,0.040852864583333336,-0.7007539669672648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0039520263672,150.23220825195312,2.0454494953155518,0.0,0.030401358380913734,0.02162482589483261,154.75698852539062,0.09081892669200897,71.64937591552734,0.0,3.0011441707611084,19.6200008392334,0.20318198204040527,11.02039623260498,0.0,1.3160048723220825,148.5475311279297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7419301271438599,-0.9017441868782043,0.5381487607955933,-0.5967676043510437
6000,2652.479287624359,4000,1.0258658877510114,0.95,0.0,0.3897971739149258,0.0,0.1691542288557214,0.16363636363636364,0.0,0.0,0.008905043825507164,0.008905043825507164,0.039632161458333336,0.039632161458333336,-0.7057294845581055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.25204467773438,150.4077911376953,1.969827651977539,0.0,0.027274860069155693,0.02152825891971588,160.0031280517578,0.07993306964635849,50.269344329833984,0.0,3.012596607208252,19.6200008392334,0.20567220449447632,10.259942054748535,0.0,1.271997094154358,149.08428955078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.722728431224823,-0.9037943482398987,0.5379714965820312,-0.5944323539733887
